id	id_campana	hora	temperatura	pressio	volum
11292	1	2016-07-04 17:28:13	30	0	0
11296	1	2016-07-04 17:48:25	30	0	0
11300	1	2016-07-04 18:08:35	30	0	0
11304	1	2016-07-04 18:28:47	30	0	0
11308	1	2016-07-04 18:48:57	30	0	0
11312	1	2016-07-04 19:09:05	30	0	0
11316	1	2016-07-04 19:29:18	30	-0.04	0
11320	1	2016-07-04 19:49:26	30	0	0
11324	1	2016-07-04 20:09:39	30	0	0
11328	1	2016-07-04 20:29:47	30	0	0
11332	1	2016-07-04 20:49:57	30	0	0
11336	1	2016-07-04 21:10:05	30	0	0
11340	1	2016-07-04 21:30:18	15	0	0
11344	1	2016-07-04 21:50:28	15	0	0
11348	1	2016-07-04 22:10:38	15	0	0
11352	1	2016-07-04 22:30:46	15	0	0
11356	1	2016-07-04 22:50:58	15	0	0
11360	1	2016-07-04 23:11:11	15	-0.04	0
11364	1	2016-07-04 23:31:25	15	0	0
11368	1	2016-07-04 23:51:32	15	0	0
11372	1	2016-07-05 00:11:40	15	0	0
11376	1	2016-07-05 00:31:48	15	0	0
11380	1	2016-07-05 00:51:56	15	0	0
11384	1	2016-07-05 01:12:05	15	0	0
11388	1	2016-07-05 01:32:13	15	0	0
11392	1	2016-07-05 01:52:21	15	0	0
11396	1	2016-07-05 02:12:28	15	0	0
11400	1	2016-07-05 02:32:36	15	0	0
11404	1	2016-07-05 02:52:47	15	-0.04	0
11408	1	2016-07-05 03:12:57	15	0	0
11412	1	2016-07-05 03:33:05	15	-0.04	0
11416	1	2016-07-05 03:53:13	15	0	0
11420	1	2016-07-05 04:13:21	15	-0.04	0
11424	1	2016-07-05 04:33:29	15	0	0
11428	1	2016-07-05 04:53:37	15	0	0
11432	1	2016-07-05 05:13:45	15	-0.04	0
11436	1	2016-07-05 05:33:53	15	0	0
11440	1	2016-07-05 05:54:01	15	0	0
11444	1	2016-07-05 06:14:16	15	0	0
11448	1	2016-07-05 06:34:23	15	0	0
11452	1	2016-07-05 06:54:32	15	0	0
11456	1	2016-07-05 07:14:40	15	0	0
11460	1	2016-07-05 07:34:48	15	0	0
11464	1	2016-07-05 07:54:56	15	0	0
11468	1	2016-07-05 08:15:06	15	0	0
11472	1	2016-07-05 08:35:15	15	0	0
11476	1	2016-07-05 08:55:22	15	0	0
11480	1	2016-07-05 09:15:30	30	0	0
11484	1	2016-07-05 09:35:38	30	0	0
11488	1	2016-07-05 09:55:50	30	0	0
11492	1	2016-07-05 10:15:58	30	0	0
11496	1	2016-07-05 10:36:06	30	0	0
11500	1	2016-07-05 10:56:14	30	0	0
11504	1	2016-07-05 11:16:27	30	0	0
11508	1	2016-07-05 11:36:38	30	0	0
11512	1	2016-07-05 11:56:49	30	-0.04	0
11516	1	2016-07-05 12:16:57	30	0	0
11520	1	2016-07-05 12:37:05	30	0	0
