id	id_campana	hora	temperatura	pressio	volum
11291	4	2016-07-04 17:23:11	30	0	220
11295	4	2016-07-04 17:43:23	30	0	230
11299	4	2016-07-04 18:03:33	30	0	230
11303	4	2016-07-04 18:23:45	30	0	230
11307	4	2016-07-04 18:43:55	30	0	220
11311	4	2016-07-04 19:04:03	30	0	220
11315	4	2016-07-04 19:24:16	30	0	220
11319	4	2016-07-04 19:44:24	30	0	220
11323	4	2016-07-04 20:04:37	30	0	230
11327	4	2016-07-04 20:24:45	30	0	210
11331	4	2016-07-04 20:44:55	15	0	220
11335	4	2016-07-04 21:05:03	15	0	220
11339	4	2016-07-04 21:25:16	15	0	230
11343	4	2016-07-04 21:45:26	15	0	220
11347	4	2016-07-04 22:05:36	15	0	210
11351	4	2016-07-04 22:25:44	15	0	210
11355	4	2016-07-04 22:45:56	15	0	220
11359	4	2016-07-04 23:06:09	15	0	220
11363	4	2016-07-04 23:26:23	15	0	220
11367	4	2016-07-04 23:46:30	15	0	210
11371	4	2016-07-05 00:06:38	15	0	220
11375	4	2016-07-05 00:26:46	15	0	220
11379	4	2016-07-05 00:46:54	15	0	220
11383	4	2016-07-05 01:07:03	15	0	220
11387	4	2016-07-05 01:27:11	15	0	210
11391	4	2016-07-05 01:47:19	15	0	220
11395	4	2016-07-05 02:07:26	15	0	210
11399	4	2016-07-05 02:27:34	15	0	210
11403	4	2016-07-05 02:47:45	15	0	220
11407	4	2016-07-05 03:07:55	15	0	200
11411	4	2016-07-05 03:28:03	15	0	200
11415	4	2016-07-05 03:48:11	15	0	200
11419	4	2016-07-05 04:08:19	15	0	200
11423	4	2016-07-05 04:28:27	15	0	190
11427	4	2016-07-05 04:48:35	15	0	190
11431	4	2016-07-05 05:08:43	15	0	180
11435	4	2016-07-05 05:28:51	15	0	180
11439	4	2016-07-05 05:48:59	15	0	170
11443	4	2016-07-05 06:09:14	15	0	180
11447	4	2016-07-05 06:29:21	15	0	160
11451	4	2016-07-05 06:49:30	15	0	170
11455	4	2016-07-05 07:09:38	15	0	160
11459	4	2016-07-05 07:29:46	15	0	160
11463	4	2016-07-05 07:49:54	15	0	140
11467	4	2016-07-05 08:10:04	15	0	150
11471	4	2016-07-05 08:30:13	15	0	140
11475	4	2016-07-05 08:50:20	15	0	140
11479	4	2016-07-05 09:10:28	15	0	130
11483	4	2016-07-05 09:30:36	15	0	130
11487	4	2016-07-05 09:50:48	15	0	150
11491	4	2016-07-05 10:10:56	15	0	140
11495	4	2016-07-05 10:31:04	15	0	140
11499	4	2016-07-05 10:51:12	15	0	150
11503	4	2016-07-05 11:11:25	30	0	160
11507	4	2016-07-05 11:31:36	30	0	160
11511	4	2016-07-05 11:51:48	30	0	170
11515	4	2016-07-05 12:11:55	30	0	190
11519	4	2016-07-05 12:32:03	30	0	180
