id	id_campana	hora	temperatura	pressio	volum
11293	2	2016-07-04 17:33:15	30	0	160
11297	2	2016-07-04 17:53:27	30	0	170
11301	2	2016-07-04 18:13:38	30	-0.04	180
11305	2	2016-07-04 18:33:51	30	0	180
11309	2	2016-07-04 18:53:59	30	0	170
11313	2	2016-07-04 19:14:07	30	0	160
11317	2	2016-07-04 19:34:20	30	0	170
11321	2	2016-07-04 19:54:28	30	0	160
11325	2	2016-07-04 20:14:41	30	0	160
11329	2	2016-07-04 20:34:49	15	0	160
11333	2	2016-07-04 20:54:59	15	0	170
11337	2	2016-07-04 21:15:07	15	0	160
11341	2	2016-07-04 21:35:22	15	0	170
11345	2	2016-07-04 21:55:32	15	0	170
11349	2	2016-07-04 22:15:40	15	0	160
11353	2	2016-07-04 22:35:51	15	0	170
11357	2	2016-07-04 22:56:00	15	0	160
11361	2	2016-07-04 23:16:16	15	0	170
11365	2	2016-07-04 23:36:26	15	0	160
11369	2	2016-07-04 23:56:34	15	0	160
11373	2	2016-07-05 00:16:42	15	0	160
11377	2	2016-07-05 00:36:50	15	0	160
11381	2	2016-07-05 00:56:58	15	0	170
11385	2	2016-07-05 01:17:07	15	0	170
11389	2	2016-07-05 01:37:15	15	0	160
11393	2	2016-07-05 01:57:23	15	0	160
11397	2	2016-07-05 02:17:30	15	0	160
11401	2	2016-07-05 02:37:41	15	0	160
11405	2	2016-07-05 02:57:51	15	0	160
11409	2	2016-07-05 03:17:59	15	0	150
11413	2	2016-07-05 03:38:07	15	0	150
11417	2	2016-07-05 03:58:15	15	0	140
11421	2	2016-07-05 04:18:23	15	0	140
11425	2	2016-07-05 04:38:31	15	0	130
11429	2	2016-07-05 04:58:39	15	0	130
11433	2	2016-07-05 05:18:47	15	0	140
11437	2	2016-07-05 05:38:55	15	0	130
11441	2	2016-07-05 05:59:05	15	0	130
11445	2	2016-07-05 06:19:18	15	0	120
11449	2	2016-07-05 06:39:25	15	0	110
11453	2	2016-07-05 06:59:34	15	0	110
11457	2	2016-07-05 07:19:42	15	0	110
11461	2	2016-07-05 07:39:50	15	0	100
11465	2	2016-07-05 07:59:58	15	0	100
11469	2	2016-07-05 08:20:09	15	0	120
11473	2	2016-07-05 08:40:17	15	0	100
11477	2	2016-07-05 09:00:24	30	0	90
11481	2	2016-07-05 09:20:32	30	-0.04	90
11485	2	2016-07-05 09:40:40	30	0	90
11489	2	2016-07-05 10:00:52	30	0	100
11493	2	2016-07-05 10:21:00	30	0	90
11497	2	2016-07-05 10:41:08	30	0	90
11501	2	2016-07-05 11:01:18	15	0	100
11505	2	2016-07-05 11:21:32	30	0	110
11509	2	2016-07-05 11:41:44	30	0	110
11513	2	2016-07-05 12:01:51	30	0	120
11517	2	2016-07-05 12:21:59	30	0	120
11521	2	2016-07-05 12:42:07	30	0	120
